         667560615 function calls (667559440 primitive calls) in 34.950 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      608    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1035(_calc___package__)
   215/12    0.000    0.000    0.363    0.030 <frozen importlib._bootstrap>:1062(__import__)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      332    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      608    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      276    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     94/9    0.000    0.000    0.359    0.040 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      600    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       72    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       46    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       46    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     46/6    0.000    0.000    0.361    0.060 <frozen importlib._bootstrap>:651(_load_unlocked)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
      608    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(_resolve_name)
       53    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:917(_sanity_check)
     56/6    0.000    0.000    0.362    0.060 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
   332/19    0.001    0.000    0.363    0.019 <frozen importlib._bootstrap>:966(_find_and_load)
   332/19    0.000    0.000    0.363    0.019 <frozen importlib._bootstrap>:982(_gcd_import)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        6    0.000    0.000    0.000    0.000 ?:1(anonymous)
        6    0.000    0.000    0.000    0.000 ?:3(<lambda>)
        6    0.003    0.001    0.145    0.024 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:102(shake_128)
        1    0.000    0.000    0.000    0.000 __init__.py:104(NameFetcher)
        1    0.000    0.000    0.000    0.000 __init__.py:105(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:106(shake_256)
      106    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:11(new)
        1    0.000    0.000    0.000    0.000 __init__.py:110(_fetch_names)
       59    0.000    0.000    0.000    0.000 __init__.py:120(hash_name_mapper_callback)
        6    0.000    0.000    0.000    0.000 __init__.py:138(make_new_hash)
        6    0.000    0.000    0.000    0.000 __init__.py:139(new_hash)
        1    0.000    0.000    0.000    0.000 __init__.py:142(PasswordInfo)
        1    0.000    0.000    0.000    0.000 __init__.py:1436(ServernameCallback)
        1    0.000    0.000    0.000    0.000 __init__.py:1479(MemoryBIO)
        1    0.000    0.000    0.000    0.000 __init__.py:16(Hash)
        6    0.000    0.000    0.000    0.000 __init__.py:18(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:232(_SSLSocket)
